Time----------,Event----------,Altitude----------,Velocity----------,Acceleration----------,Latitude----------,Longitude----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:01:21:936,,30069.6,-157.523,13364.1,43.794,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:22:949,,29906.1,-163.511,11366.1,43.7943,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:23:962,,29769.5,-136.629,66016.8,43.7946,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:24:977,,29601,-168.501,65292,43.7949,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:25:987,,29439.5,-161.46,65521.8,43.7952,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:27:000,,29299.3,-140.146,66036.5,43.7956,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:28:013,,29159.1,-140.243,64900.9,43.796,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:29:124,,29017.1,-142.011,65636.6,43.7963,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:30:222,,28859.2,-157.912,65336.9,43.7966,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:31:310,,28713.8,-145.374,12488.7,43.7969,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:32:314,,28575.8,-137.984,12030.4,43.7972,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:33:327,,28414,-161.848,13463,43.7976,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:34:328,,28283.3,-130.724,66097,43.798,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:35:337,,28151.6,-131.702,65942.5,43.7983,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:36:350,,27989,-162.502,65473.3,43.7985,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:37:364,,27869.2,-119.822,13756.6,43.7989,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:38:366,,27726.8,-142.437,66028.6,43.7993,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:39:375,,27580.4,-146.439,13329.7,43.7997,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:40:386,,27424.5,-155.897,66337.1,43.8,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:01:41:400,,27282,-142.435,66458.5,43.8003,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
