,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,29971.1,4373.66,,22.554
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:01:34:458,,21744,-135.792,186.859,5.80777,0,43.7804,-120.636,N 43° 46.8263',W 120° 38.1586',-13.8125,204.063,-203,204.063,-13.8125,-203,0,4.55856e-312,3.14082e-317
00:01:35:473,,21638.1,-105.869,187.726,5.83472,0,43.7804,-120.636,N 43° 46.823',W 120° 38.1658',664.75,352,-198.375,352,664.75,-198.375,0,4.55856e-312,3.14082e-317
00:01:36:489,,21504.1,-133.994,252.867,7.85936,0,43.7803,-120.636,N 43° 46.816',W 120° 38.1682',26.375,161.813,-127.438,161.813,26.375,-127.438,0,4.55856e-312,3.14082e-317
00:01:37:505,,21347.5,-156.676,183.425,5.70104,0,43.7802,-120.636,N 43° 46.8122',W 120° 38.1644',-89.9375,66,-330.063,66,-89.9375,-330.063,0,4.55856e-312,3.14082e-317
00:01:38:521,,21192.3,-155.18,250.009,7.77054,0,43.7802,-120.636,N 43° 46.814',W 120° 38.1629',-100.563,148.625,-154.375,148.625,-100.563,-154.375,0,4.55856e-312,3.14082e-317
00:01:39:537,,21096.6,-95.6956,203.59,6.32778,0,43.7803,-120.636,N 43° 46.8156',W 120° 38.1673',62.8125,-3.875,-255.125,-3.875,62.8125,-255.125,0,4.55856e-312,3.14082e-317
00:01:40:553,,20947.1,-149.458,231.568,7.19737,0,43.7802,-120.636,N 43° 46.813',W 120° 38.1753',66.6875,123,-158.438,123,66.6875,-158.438,0,4.55856e-312,3.14082e-317
00:01:41:569,,20817.6,-129.51,181.562,5.64314,0,43.7801,-120.636,N 43° 46.8074',W 120° 38.1783',9.5,130.75,-299.813,130.75,9.5,-299.813,0,4.55856e-312,3.14082e-317
00:01:42:585,,20650.6,-167.049,222.346,6.91074,0,43.7801,-120.636,N 43° 46.8032',W 120° 38.175',48.0625,132.813,-309.563,132.813,48.0625,-309.563,0,4.55856e-312,3.14082e-317
00:01:43:601,,20533.4,-117.144,188.269,5.85158,0,43.7801,-120.636,N 43° 46.8046',W 120° 38.1723',-28.125,82.5625,-266.688,82.5625,-28.125,-266.688,0,4.55856e-312,3.14082e-317
00:01:44:617,,20330.3,-203.082,205.135,6.37581,0,43.7801,-120.636,N 43° 46.8068',W 120° 38.1771',-113.813,68.875,94.875,68.875,-113.813,94.875,0,4.55856e-312,3.14082e-317
