,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,32862.6,1477.3,,112303
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:00:45:664,,32862.6,99.0265,2.81319e+06,87436.7,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,55246,65235,1088,65235,55246,1088,0,1.39096e-307,1.39067e-307
00:00:46:681,Apogee,32655.3,-207.318,2.87798e+06,89450.4,1,43.79,-120.654,N 43° 47.3986',W 120° 39.2528',5349,58926,6995,58926,5349,6995,0,1.39096e-307,1.39067e-307
00:00:47:697,,32635.1,-20.2534,2.64627e+06,82248.8,1,43.79,-120.654,N 43° 47.3987',W 120° 39.2523',60043,54428,54116,54428,60043,54116,0,1.39096e-307,1.39067e-307
00:00:48:697,,32553.3,-81.8134,2.19043e+06,68080.9,1,43.79,-120.654,N 43° 47.4017',W 120° 39.254',39651,6068,60471,6068,39651,60471,0,1.39096e-307,1.39067e-307
00:00:49:714,,32463.1,-90.1704,2.03515e+06,63254.5,1,43.7901,-120.654,N 43° 47.404',W 120° 39.2544',55954,65417,58543,65417,55954,58543,0,1.39096e-307,1.39067e-307
00:00:50:731,,32274.2,-188.895,2.06855e+06,64292.5,1,43.7902,-120.654,N 43° 47.4127',W 120° 39.2516',62731,1201,2555,1201,62731,2555,0,1.39096e-307,1.39067e-307
00:00:51:748,,32048,-226.16,256102,7959.92,1,43.7903,-120.654,N 43° 47.4188',W 120° 39.2509',6834,1258,329,1258,6834,329,0,1.39096e-307,1.39067e-307
00:00:52:765,,32003.8,-44.2402,1.82959e+06,56865.4,1,43.7904,-120.654,N 43° 47.4223',W 120° 39.2489',20305,62106,62370,62106,20305,62370,0,1.39096e-307,1.39067e-307
00:00:53:806,,31851.9,-151.903,2.03898e+06,63373.7,1,43.7905,-120.654,N 43° 47.432',W 120° 39.2487',9259,500,35,500,9259,35,0,1.39096e-307,1.39067e-307
00:00:54:814,,31653.5,-198.362,291421,9057.65,1,43.7908,-120.654,N 43° 47.4451',W 120° 39.2513',50038,351,7811,351,50038,7811,0,1.39096e-307,1.39067e-307
00:00:55:831,,31571.1,-82.431,2.07011e+06,64341,1,43.791,-120.654,N 43° 47.4611',W 120° 39.2467',63896,60289,2718,60289,63896,2718,0,1.39096e-307,1.39067e-307
00:00:56:847,,31606.3,35.1629,1.99068e+06,61872.4,1,43.7913,-120.654,N 43° 47.4763',W 120° 39.2425',64522,1663,720,1663,64522,720,0,1.39096e-307,1.39067e-307
00:00:57:864,,31282.4,-323.89,2.10399e+06,65394.1,1,GPS ERROR,GPS ERROR,GPS ERROR,GPS ERROR,11792,62443,1942,62443,11792,1942,0,1.39096e-307,1.39067e-307
