,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,48.181,2.77003,,1.87612
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:01:03:919,,18.8212,1.10742,48.2673,1.5002,0,44.5617,-123.278,N 44° 33.7038',W 123° 16.7049',-13.4375,-58.9375,16.4375,-58.9375,-13.4375,16.4375,0,1.49525e-305,5.34272e-317
00:01:04:832,,21.5899,2.76871,27.2647,0.847415,0,44.5617,-123.278,N 44° 33.7038',W 123° 16.7057',95.8125,26.9375,32.125,26.9375,95.8125,32.125,0,1.49525e-305,5.34272e-317
00:01:05:746,,23.2513,1.66133,37.9211,1.17863,0,44.5617,-123.278,N 44° 33.7042',W 123° 16.7057',-66.75,23.625,152.313,23.625,-66.75,152.313,0,1.49525e-305,5.34272e-317
00:01:07:570,Landing,22.6975,-0.553786,30.4961,0.947849,0,44.5617,-123.278,N 44° 33.7043',W 123° 16.7057',-40.9375,-1.9375,79.3125,-1.9375,-40.9375,79.3125,0,1.49525e-305,5.34272e-317
00:01:08:492,,23.8051,1.10758,23.2966,0.724082,0,44.5618,-123.278,N 44° 33.7052',W 123° 16.7051',33.3125,3.8125,-23.6875,3.8125,33.3125,-23.6875,0,1.49525e-305,5.34272e-317
00:01:09:400,,25.1896,1.38453,45.6731,1.41957,0,44.5618,-123.278,N 44° 33.7058',W 123° 16.7044',26.875,23.6875,-2.75,23.6875,26.875,-2.75,0,1.49525e-305,5.34272e-317
00:01:10:314,,27.405,2.21536,25.7916,0.80163,0,44.5618,-123.278,N 44° 33.7051',W 123° 16.7043',4.375,23.5,83.375,23.5,4.375,83.375,0,1.49525e-305,5.34272e-317
00:01:11:228,Landing,26.2973,-1.1077,35.9712,1.11802,0,44.5617,-123.278,N 44° 33.7043',W 123° 16.7046',-0.125,-13.6875,92.8125,-13.6875,-0.125,92.8125,0,1.49525e-305,5.34272e-317
00:01:12:140,,27.405,1.1077,45.6739,1.41959,0,44.5617,-123.278,N 44° 33.7043',W 123° 16.705',104,33.4375,-5.75,33.4375,104,-5.75,0,1.49525e-305,5.34272e-317
00:01:13:054,,29.3435,1.93856,19.5515,0.60768,0,44.5617,-123.278,N 44° 33.7042',W 123° 16.705',30.5625,-24.9375,-6.5625,-24.9375,30.5625,-6.5625,0,1.49525e-305,5.34272e-317
00:01:13:967,,31.8361,2.49259,28.3683,0.881715,0,44.5617,-123.278,N 44° 33.7046',W 123° 16.7052',3.5625,-18.125,-2.375,-18.125,3.5625,-2.375,0,1.49525e-305,5.34272e-317
00:01:14:881,,32.39,0.553935,38.1569,1.18595,0,44.5618,-123.278,N 44° 33.7053',W 123° 16.7051',-119.563,-120.188,66.875,-120.188,-119.563,66.875,0,1.49525e-305,5.34272e-317
00:01:16:707,Landing,32.39,0,32.3306,1.00487,0,44.5617,-123.278,N 44° 33.7048',W 123° 16.7053',11.8125,24,6.6875,24,11.8125,6.6875,0,1.49525e-305,5.34272e-317
00:01:17:621,,34.6059,2.21583,20.7212,0.644037,0,44.5617,-123.278,N 44° 33.7047',W 123° 16.7052',1.75,-44.1875,-12.1875,-44.1875,1.75,-12.1875,0,1.49525e-305,5.34272e-317
00:01:18:534,,35.1598,0.55398,43.299,1.34578,0,44.5618,-123.278,N 44° 33.7058',W 123° 16.7049',-122.375,-15.125,18.625,-15.125,-122.375,18.625,0,1.49525e-305,5.34272e-317
00:01:19:448,,37.9299,2.77003,21.7761,0.676824,0,44.5618,-123.278,N 44° 33.705',W 123° 16.7051',-0.5625,21.4375,96.8125,21.4375,-0.5625,96.8125,0,1.49525e-305,5.34272e-317
00:01:20:361,Landing,37.6529,-0.277014,44.9383,1.39673,0,44.5618,-123.278,N 44° 33.705',W 123° 16.705',-29.5625,53.625,101.875,53.625,-29.5625,101.875,0,1.49525e-305,5.34272e-317
00:01:21:274,,37.9299,0.277014,13.8566,0.430677,0,44.5618,-123.278,N 44° 33.7057',W 123° 16.7048',-31.625,-45.1875,-37.6875,-45.1875,-31.625,-37.6875,0,1.49525e-305,5.34272e-317
00:01:22:188,,39.592,1.66213,34.906,1.08491,0,44.5618,-123.278,N 44° 33.7066',W 123° 16.7048',1.4375,14.375,-43.625,14.375,1.4375,-43.625,0,1.49525e-305,5.34272e-317
00:01:23:101,,42.0854,2.49335,26.0255,0.808899,0,44.5618,-123.278,N 44° 33.7058',W 123° 16.7051',-0.375,35.5625,34.9375,35.5625,-0.375,34.9375,0,1.49525e-305,5.34272e-317
00:01:24:014,,42.3624,0.27705,38.3849,1.19304,0,44.5618,-123.278,N 44° 33.706',W 123° 16.7047',-9.0625,22.8125,59.4375,22.8125,-9.0625,59.4375,0,1.49525e-305,5.34272e-317
00:01:25:842,,42.9165,0.554106,24.025,0.746722,0,44.5618,-123.278,N 44° 33.706',W 123° 16.7048',16.3125,36.5625,91.5625,36.5625,16.3125,91.5625,0,1.49525e-305,5.34272e-317
00:01:26:755,,43.7477,0.831176,49.37,1.53447,0,44.5618,-123.278,N 44° 33.7065',W 123° 16.7043',12.125,-12.625,-34.625,-12.625,12.125,-34.625,0,1.49525e-305,5.34272e-317
00:01:27:668,,44.856,1.10827,19.5699,0.608253,0,44.5618,-123.278,N 44° 33.7062',W 123° 16.7036',37.75,12.9375,38.0625,12.9375,37.75,38.0625,0,1.49525e-305,5.34272e-317
