,,Max Altitude,Max Velocity,,Max Acceleration(G),,,,,,,,,,,,,
,,398.593,1.95,,3.10161,,,,,,,,,,,,,
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:01:41:349,,393.579,0,33.716,1.04793,44.567,-123.276,N 44° 34.0199',W 123° 16.5495',-0.375,0.9375,-0.25,0.9375,-0.375,-0.25,0,6.95E-308,1.45357e-311
-00:01:42:362,,393.579,0,33.8931,1.05343,44.567,-123.276,N 44° 34.0202',W 123° 16.5494',-0.5,1,-0.0625,1,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:01:43:375,,393.579,0,33.6509,1.0459,44.567,-123.276,N 44° 34.0204',W 123° 16.5494',-0.5,0.875,-0.125,0.875,-0.5,-0.125,0,6.95E-308,1.45357e-311
-00:01:44:387,,394.414,0.835666,34.1208,1.06051,44.567,-123.276,N 44° 34.0206',W 123° 16.5493',-0.4375,1,0.0625,1,-0.4375,0.0625,0,6.95E-308,1.45357e-311
-00:01:45:400,,393.021,-1.39277,34.0878,1.05948,44.567,-123.276,N 44° 34.0208',W 123° 16.5492',-0.4375,0.9375,0,0.9375,-0.4375,0,0,6.95E-308,1.45357e-311
-00:01:46:412,,393.857,0.835653,33.7163,1.04794,44.567,-123.276,N 44° 34.021',W 123° 16.5491',-0.375,0.9375,-0.125,0.9375,-0.375,-0.125,0,6.95E-308,1.45357e-311
-00:01:47:426,,393.857,0,34.1038,1.05998,44.567,-123.276,N 44° 34.0212',W 123° 16.549',-0.5,0.9375,-0.25,0.9375,-0.5,-0.25,0,6.95E-308,1.45357e-311
-00:01:48:439,,393.857,0,33.9101,1.05396,44.567,-123.276,N 44° 34.0213',W 123° 16.549',-0.5,1,-0.0625,1,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:01:49:452,,393.857,0,33.9905,1.05646,44.567,-123.276,N 44° 34.0214',W 123° 16.549',-0.4375,1.125,0,1.125,-0.4375,0,0,6.95E-308,1.45357e-311
-00:01:50:463,,394.414,0.557113,33.974,1.05595,44.567,-123.276,N 44° 34.0216',W 123° 16.5489',-0.5,0.9375,-0.0625,0.9375,-0.5,-0.0625,0,6.95E-308,1.45357e-311
-00:01:51:478,,393.857,-0.557113,34.0393,1.05797,44.567,-123.276,N 44° 34.0217',W 123° 16.5491',-0.5625,0.8125,0,0.8125,-0.5625,0,0,6.95E-308,1.45357e-311
-00:01:52:508,,393.857,0,33.7473,1.0489,44.567,-123.276,N 44° 34.0218',W 123° 16.5492',-0.4375,0.875,-0.125,0.875,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:01:53:538,,394.414,0.557113,33.8775,1.05295,44.567,-123.276,N 44° 34.0219',W 123° 16.5493',-0.625,1,-0.0625,1,-0.625,-0.0625,0,6.95E-308,1.45357e-311
-00:01:54:568,,394.136,-0.278558,33.8283,1.05142,44.567,-123.276,N 44° 34.0227',W 123° 16.5499',-0.3125,1.0625,-0.0625,1.0625,-0.3125,-0.0625,0,6.95E-308,1.45357e-311
-00:01:55:598,,394.136,0,34.37,1.06825,44.567,-123.276,N 44° 34.0227',W 123° 16.5499',-2.6875,3.625,0.3125,3.625,-2.6875,0.3125,0,6.95E-308,1.45357e-311
-00:01:56:611,,394.414,0.278558,34.1202,1.06049,44.567,-123.276,N 44° 34.0226',W 123° 16.5499',-0.4375,0.9375,-0.125,0.9375,-0.4375,-0.125,0,6.95E-308,1.45357e-311
-00:01:57:628,,394.693,0.27856,33.8445,1.05192,44.567,-123.276,N 44° 34.0228',W 123° 16.5498',0.375,0,0.1875,0,0.375,0.1875,0,6.95E-308,1.45357e-311
-00:01:58:637,,394.414,-0.27856,34.3628,1.06803,44.567,-123.276,N 44° 34.0227',W 123° 16.5497',0.125,-0.4375,13.375,-0.4375,0.125,13.375,0,6.95E-308,1.45357e-311
-00:01:59:650,,394.414,0,34.121,1.06051,44.5671,-123.276,N 44° 34.023',W 123° 16.5497',-0.625,1,-0.1875,1,-0.625,-0.1875,0,6.95E-308,1.45357e-311
-00:02:00:651,,394.693,0.27856,50.918,1.58258,44.567,-123.276,N 44° 34.0229',W 123° 16.5496',33.9375,6.75,15.5,6.75,33.9375,15.5,0,6.95E-308,1.45357e-311
-00:02:01:659,,394.971,0.278562,37.2653,1.15824,44.5671,-123.276,N 44° 34.0231',W 123° 16.5494',17.0625,6.875,-4.25,6.875,17.0625,-4.25,0,6.95E-308,1.45357e-311
-00:02:02:672,Apogee,394.414,-0.557122,35.2195,1.09466,44.567,-123.276,N 44° 34.0229',W 123° 16.5495',-2.0625,9.5,4,9.5,-2.0625,4,0,6.95E-308,1.45357e-311
-00:02:03:689,,394.136,-0.278558,33.9664,1.05571,44.567,-123.276,N 44° 34.0229',W 123° 16.5496',2.125,14.6875,1.8125,14.6875,2.125,1.8125,0,6.95E-308,1.45357e-311
-00:02:04:699,,393.3,-0.83566,33.9312,1.05461,44.567,-123.276,N 44° 34.0228',W 123° 16.5497',-0.6875,1.1875,-12.8125,1.1875,-0.6875,-12.8125,0,6.95E-308,1.45357e-311
-00:02:05:711,,394.136,0.83566,33.8451,1.05194,44.567,-123.276,N 44° 34.0224',W 123° 16.55',-0.375,0.875,-0.0625,0.875,-0.375,-0.0625,0,6.95E-308,1.45357e-311
